"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"18f.gov","18f.gov","https://18f.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"18franklin.18f.gov","18f.gov","https://18franklin.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"accessibility.18f.gov","18f.gov","https://accessibility.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"acqstack-journeymap.18f.gov","18f.gov","https://acqstack-journeymap.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"agile-bpa.18f.gov","18f.gov","https://agile-bpa.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"agile-labor-categories.18f.gov","18f.gov","https://agile-labor-categories.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"agile.18f.gov","18f.gov","https://agile.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"api-all-the-x.18f.gov","18f.gov","https://api-all-the-x.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"api-program.18f.gov","18f.gov","https://api-program.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"api-usability-testing.18f.gov","18f.gov","https://api-usability-testing.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"api.18f.gov","18f.gov","https://api.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"atf-eregs.18f.gov","18f.gov","https://atf-eregs.18f.gov","General Services Administration","dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"atul-docker-presentation.18f.gov","18f.gov","https://atul-docker-presentation.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"autoapi.18f.gov","18f.gov","https://autoapi.18f.gov","General Services Administration","censys-snapshot","No","No","Preloaded","","","","","","No"
"automated-testing-playbook.18f.gov","18f.gov","https://automated-testing-playbook.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"before-you-ship.18f.gov","18f.gov","https://before-you-ship.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"blogging-guide.18f.gov","18f.gov","https://blogging-guide.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"boise.18f.gov","18f.gov","https://boise.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"brand.18f.gov","18f.gov","https://brand.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"cap.18f.gov","18f.gov","https://cap.18f.gov","General Services Administration","dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"chandika.18f.gov","18f.gov","https://chandika.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"charlie.18f.gov","18f.gov","https://charlie.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"chat.18f.gov","18f.gov","https://chat.18f.gov","General Services Administration","eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"climate-data-user-study.18f.gov","18f.gov","https://climate-data-user-study.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"compliance-viewer.18f.gov","18f.gov","https://compliance-viewer.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"content-guide.18f.gov","18f.gov","https://content-guide.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"continua11y.18f.gov","18f.gov","https://continua11y.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"contracting-cookbook.18f.gov","18f.gov","https://contracting-cookbook.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"design-principles-guide.18f.gov","18f.gov","https://design-principles-guide.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"digital-acquisition-playbook.18f.gov","18f.gov","https://digital-acquisition-playbook.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
